company_name,description,category,location,source,cleaned_description,combined,cluster,cluster_name,cluster_quality,tags,startup_cluster,startup_cluster_name,startup_cluster_quality
Noviopus,market Social Recruiting stage  employees 1-10 location Israel,Social Recruiting,Israel,angellist,market social recruiting stage employees 1 10 location israel,Noviopus market social recruiting stage employees 1 10 location israel Social Recruiting,4,BPO / Telecom / Retail Operations,mixed,B2C,4,Developer Tools / Infra,mixed
Marathon Laundry Machines,market Internet of Things stage  employees 1-10 location San Carlos,Internet of Things,San Carlos,angellist,market internet of things stage employees 1 10 location san carlos,Marathon Laundry Machines market internet of things stage employees 1 10 location san carlos Internet of Things,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
KangarooHealth (Stanford StartX),market B2B stage  employees 1-10 location Palo Alto,B2B,Palo Alto,angellist,market b2b stage employees 1 10 location palo alto,KangarooHealth (Stanford StartX) market b2b stage employees 1 10 location palo alto B2B,4,BPO / Telecom / Retail Operations,mixed,"HealthTech, B2B",4,Developer Tools / Infra,mixed
Neener Analytics,market Social Media Marketing stage  employees 1-10 location San Jose,Social Media Marketing,San Jose,angellist,market social media marketing stage employees 1 10 location san jose,Neener Analytics market social media marketing stage employees 1 10 location san jose Social Media Marketing,4,BPO / Telecom / Retail Operations,mixed,B2C,5,Marketplace / Creator Economy,mixed
ReoLab,market Diagnostics stage  employees 1-10 location San Francisco,Diagnostics,San Francisco,angellist,market diagnostics stage employees 1 10 location san francisco,ReoLab market diagnostics stage employees 1 10 location san francisco Diagnostics,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
ThinkINside,market Manufacturing stage Seed employees 1-10 location Eislingen,Manufacturing,Eislingen,angellist,market manufacturing stage seed employees 1 10 location eislingen,ThinkINside market manufacturing stage seed employees 1 10 location eislingen Manufacturing,4,BPO / Telecom / Retail Operations,mixed,Other,3,HealthTech Startups,mostly_clean
Altius,market Fitness stage  employees 1-10 location San Antonio,Fitness,San Antonio,angellist,market fitness stage employees 1 10 location san antonio,Altius market fitness stage employees 1 10 location san antonio Fitness,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
Qordoba,market SaaS stage Series B employees 11-50 location San Francisco,SaaS,San Francisco,angellist,market saas stage series b employees 11 50 location san francisco,Qordoba market saas stage series b employees 11 50 location san francisco SaaS,4,BPO / Telecom / Retail Operations,mixed,SaaS,4,Developer Tools / Infra,mixed
Caesium,market Productivity Software stage  employees 1-10 location Berlin,Productivity Software,Berlin,angellist,market productivity software stage employees 1 10 location berlin,Caesium market productivity software stage employees 1 10 location berlin Productivity Software,4,BPO / Telecom / Retail Operations,mixed,"SaaS, OpsTech",4,Developer Tools / Infra,mixed
WeTheProtesters,market Politics stage  employees 1-10 location St. Louis,Politics,St. Louis,angellist,market politics stage employees 1 10 location st louis,WeTheProtesters market politics stage employees 1 10 location st louis Politics,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
